event_id,index,farm_id,cow_id,ref_event_datetime,breed,birth_date,tv_serial,ax_serial,ax_days_before_calving,ax_id_assignment,season,country,cattle_mode,rank,event_type
FR3546542071_2016-11-21,392,FR-35207001,FR3546542071,2016-11-21 03:39:40,66,2016-01-14T00:00:00,001LR,01HFN,12,2649,automne,FR,laitier,genisse,tv_expulsion
FR2910666436_2016-09-30,339,FR-29004344,FR2910666436,2016-09-30 23:25:00,66,2014-04-29T00:00:00,01EME,01B5Z,14,496,automne,FR,laitier,genisse,tv_expulsion
FR3546541977_2016-08-31,378,FR-35207001,FR3546541977,2016-08-31 10:00:38,66,2013-07-04T00:00:00,001LS,00AFV,7,2578,ete,FR,laitier,vache,tv_expulsion
FR3546542056_2016-08-24,390,FR-35207001,FR3546542056,2016-08-24 16:51:04,66,2014-08-26T00:00:00,001LR,01J0U,13,2580,ete,FR,laitier,genisse,tv_expulsion
FR0802026204_2016-08-18,226,FR-08082003,FR0802026204,2016-08-18 09:35:00,66,2006-06-08T00:00:00,012UV,017T9,9,737,ete,FR,laitier,vache,tv_expulsion
FR0802026586_2016-08-06,236,FR-08082003,FR0802026586,2016-08-06 12:30:00,66,2010-06-26T00:00:00,01H7C,0175V,10,787,ete,FR,laitier,vache,tv_expulsion
FR5351987475_2016-08-05,682,FR-53202186,FR5351987475,2016-08-05 07:11:00,66,2011-02-22T00:00:00,01DVJ,01HCV,442,528,ete,FR,laitier,vache,tv_expulsion
FR6950805557_2016-07-24,907,FR-69132220,FR6950805557,2016-07-24 09:12:00,46,2014-04-27T00:00:00,01CIB,01N49,11,535,ete,FR,laitier,genisse,tv_expulsion
FR4241449067_2016-07-20,893,FR-69132220,FR4241449067,2016-07-20 19:32:15,46,2009-07-25T00:00:00,01GS2,01N46,7,543,ete,FR,laitier,vache,tv_expulsion
FR0802026733_2016-07-12,253,FR-08082003,FR0802026733,2016-07-12 20:16:00,66,2013-12-07T00:00:00,01H7C,015VM,11,756,ete,FR,laitier,genisse,tv_expulsion
FR3546541919_2016-07-09,371,FR-35207001,FR3546541919,2016-07-09 23:18:00,66,2012-07-14T00:00:00,013FA,01IVG,9,2486,ete,FR,laitier,vache,tv_expulsion
